patch_id,keypoints
15,"95.00,137.00;77.00,144.00;96.00,121.00"
21,"120.00,145.00"
2,"34.00,91.00"
14,"75.00,94.00;99.00,89.00;98.00,105.00"
20,"134.00,94.00"
26,"177.00,92.00;148.00,88.00;163.00,87.00;164.00,95.00;149.00,95.00"
10,"59.00,170.00"
22,"147.00,170.00;128.00,169.00;129.00,181.00"
16,"100.00,177.00;86.00,148.00;97.00,151.00;109.00,148.00;75.00,169.00;90.00,166.00;100.00,168.00;110.00,166.00"
8,"46.00,87.00;60.00,87.00;60.00,95.00;45.00,95.00"
23,"111.00,187.00"
17,"99.00,188.00"
