patch_id,keypoints
15,"102.00,145.00;102.00,126.00"
16,"80.00,152.00;91.00,157.00;102.00,161.00;76.00,177.00;89.00,176.00;100.00,179.00"
22,"125.00,152.00;141.00,177.00;114.00,156.00;112.00,175.00;126.00,177.00;126.00,183.00"
2,"30.00,89.00"
8,"73.00,91.00;43.00,83.00;60.00,83.00;59.00,95.00;42.00,95.00"
20,"135.00,91.00"
26,"178.00,88.00;150.00,83.00;166.00,82.00;167.00,94.00;151.00,94.00"
10,"60.00,179.00"
17,"100.00,189.00;100.00,187.00"
14,"103.00,87.00;103.00,107.00"
23,"113.00,186.00"
