patch_id,keypoints
21,"132.00,138.00;131.00,124.00"
16,"107.00,152.00;84.00,184.00;101.00,178.00"
22,"147.00,152.00;128.00,180.00;117.00,153.00;128.00,155.00;138.00,153.00;119.00,172.00;128.00,175.00;137.00,172.00"
8,"43.00,95.00;59.00,87.00;57.00,102.00"
14,"92.00,99.00;77.00,87.00;76.00,103.00"
26,"154.00,101.00;168.00,88.00;169.00,105.00"
32,"199.00,97.00;186.00,89.00;187.00,104.00"
28,"162.00,183.00;151.00,176.00"
20,"129.00,96.00;130.00,110.00"
29,"151.00,198.00"
23,"138.00,204.00;127.00,205.00"
