patch_id,keypoints
21,"130.00,137.00;129.00,120.00"
15,"104.00,146.00"
27,"149.00,147.00"
8,"50.00,88.00;64.00,81.00;63.00,93.00"
14,"93.00,91.00;80.00,81.00;79.00,93.00"
26,"153.00,91.00;167.00,81.00;182.00,80.00;183.00,92.00;168.00,93.00"
32,"195.00,87.00"
16,"75.00,168.00;95.00,167.00"
28,"163.00,171.00;150.00,168.00;148.00,182.00"
22,"124.00,176.00;114.00,149.00;127.00,152.00;139.00,149.00;113.00,166.00;124.00,169.00;135.00,167.00"
20,"127.00,85.00;128.00,102.00"
23,"132.00,187.00;121.00,188.00"
