patch_id,keypoints
21,"111.00,119.00;132.00,135.00;121.00,135.00"
15,"86.00,135.00;98.00,136.00;109.00,137.00"
8,"39.00,82.00;53.00,78.00;66.00,79.00;65.00,88.00;51.00,87.00"
14,"78.00,87.00;110.00,84.00;110.00,95.00;110.00,107.00"
20,"139.00,88.00"
26,"178.00,84.00;153.00,80.00;166.00,80.00;167.00,88.00;153.00,89.00"
10,"65.00,169.00"
28,"150.00,170.00"
16,"107.00,167.00;82.00,161.00;99.00,154.00;108.00,156.00;107.00,183.00"
22,"119.00,154.00;135.00,161.00;135.00,179.00;119.00,183.00"
